CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SUM_SYN_ANT_SAN,SYNERGY_SCORE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA,QA,BatchID,COMBINATION_ID
A2780,ERLOTINIB,OXALIPLATIN,5.0,20.0,4.666903069,1.413391053,0.450898924,2.450534475,1.578946999,19.76715514,0,0.0,-42.86315404,-29.97795173,1,1,ERLOTINIB.OXALIPLATIN
MSTO,GELDANAMYCIN,BEZ-235,2.0,0.4,0.462731818,1.519972672,24.33513623,0.058091201,1.20374982,8.561456176,0,1.0,-2.361401886,22.73404339,1,1,BEZ-235.GELDANAMYCIN
VCAP,DEXAMETHASONE,AZD1775,10.0,0.5,1.0,0.0,100.0,0.236579327,10.0,8.64986852,0,0.0,-7.291544265,-7.291544265,1,1,AZD1775.DEXAMETHASONE
NCIH2122,PD325901,SN-38,0.1,0.005,0.024841707,1.190020387,53.35652855,0.001475642,1.091206787,27.22568823,0,1.0,-6.767512259,16.33739764,1,1,PD325901.SN-38
LOVO,PACLITAXEL,DINACICLIB,0.04,0.04,0.004059807,1.298185317,30.75958788,0.010344243,2.215159638,11.8142281,0,1.0,-4.551844694,18.68421973,1,1,DINACICLIB.PACLITAXEL
SW837,TEMOZOLOMIDE,TOPOTECAN,250.0,1.0,1.0,0.0,100.0,0.095722145,1.172605774,24.88910382,0,0.0,-19.97963847,-19.97963847,1,1,TEMOZOLOMIDE.TOPOTECAN
SKMES1,VINORELBINE,MK-5108,0.04,2.0,0.020481888,1.564232473,0.0,0.46434991,2.090275458,42.20360798,0,1.0,2.430646797,15.21102668,1,1,MK-5108.VINORELBINE
PA1,DEXAMETHASONE,AZD1775,10.0,0.5,0.250133312,9.712254337,93.62636955,0.232505379,10.0,48.57788165,0,1.0,11.97490291,16.19460339,1,1,AZD1775.DEXAMETHASONE
HT29,5-FU,SORAFENIB,10.0,20.0,3.598571877,1.463819478,39.38524174,6.477696881,4.150983807,6.233054364,0,0.0,-5.562738708,1.33124351,1,1,5-FU.SORAFENIB
SKMES1,LAPATINIB,MK-5108,5.0,2.0,0.237147423,1.310593315,36.92422442,0.46434991,2.090275458,42.20360798,0,1.0,-10.74746826,17.45527592,1,1,LAPATINIB.MK-5108
HT144,DOXORUBICIN,MK-5108,0.3,2.0,0.094969455,1.101610439,0.0,2.0,1.761202218,50.81535916,0,0.0,-14.6183899,-7.490275667,1,1,DOXORUBICIN.MK-5108
PA1,L778123,SUNITINIB,5.0,5.0,1.816392559,1.054759976,38.99423397,3.824096718,5.505699327,0.0,0,1.0,22.72001804,25.94939074,1,1,L778123.SUNITINIB
RPMI7951,GEMCITABINE,PD325901,0.01,0.1,1.25e-05,0.268439865,0.0,0.005224962,3.191597826,33.74105834,0,1.0,2.698727824,16.569445,1,1,GEMCITABINE.PD325901
OV90,DOXORUBICIN,L778123,0.3,5.0,0.082661169,1.177665254,0.0,1.741004923,10.0,72.40380765,0,0.0,-17.17983688,-7.672080602,1,1,DOXORUBICIN.L778123
RPMI7951,GEMCITABINE,MK-2206,0.01,4.0,1.25e-05,0.268439865,0.0,0.924520978,1.097350523,44.88043447,0,1.0,8.962939954,15.32684296,1,1,GEMCITABINE.MK-2206
LOVO,MK-5108,GELDANAMYCIN,2.0,2.0,0.565153725,1.216338077,36.79257157,2.0,10.0,2.010397052,0,0.0,-0.972712745,4.988949976,1,1,GELDANAMYCIN.MK-5108
LOVO,METFORMIN,GELDANAMYCIN,250.0,2.0,250.0,0.304367446,89.52457631,2.0,10.0,2.010397052,0,0.0,-13.12178188,-12.18013581,1,1,GELDANAMYCIN.METFORMIN
DLD1,GELDANAMYCIN,MK-8776,2.0,4.0,0.389290728,1.558975138,48.47430332,1.506298224,10.0,87.30090495,0,1.0,19.93926206,23.66238144,1,1,GELDANAMYCIN.MK-8776
ES2,LAPATINIB,GELDANAMYCIN,5.0,2.0,5.0,1.763984556,90.02984763,0.609739069,10.0,74.10370443,0,1.0,17.56504675,18.60111769,1,1,GELDANAMYCIN.LAPATINIB
MSTO,MK-2206,SN-38,4.0,0.005,1.725161983,2.222168469,0.0,0.001717659,10.0,39.20976032,0,1.0,43.99970944,48.98980232,1,1,MK-2206.SN-38
NCIH23,MK-8669,OXALIPLATIN,0.01,20.0,0.000735258,1.638180792,75.33258112,5.526599134,2.056504173,32.94666358,0,0.0,-36.80392823,-20.21509996,1,1,MK-8669.OXALIPLATIN
ES2,PD325901,DASATINIB,0.1,3.0,0.013772609,1.127086793,49.30395914,0.744653232,9.999999999,90.09579136,0,1.0,38.95912893,44.45398478,1,1,DASATINIB.PD325901
ES2,LAPATINIB,OXALIPLATIN,5.0,20.0,5.0,1.763984556,90.02984763,8.085367469,10.0,52.39710613,0,0.0,-17.87676426,-16.69100833,1,1,LAPATINIB.OXALIPLATIN
SW620,MRK-003,SUNITINIB,10.0,5.0,3.92991461,10.0,94.0949718,1.588234615,2.850232329,24.60716176,0,1.0,3.875352604,4.804185765,1,1,MRK-003.SUNITINIB
HCT116,ZOLINZA,SN-38,4.0,0.005,1.456962526,2.661192051,8.683921983,0.005,2.119130999,32.67601704,0,0.0,7.97699339,13.28633855,1,1,SN-38.ZOLINZA
OCUBM,VINBLASTINE,LAPATINIB,0.04,5.0,0.00973633,9.996919682,8.990776155,0.145718002,1.156430576,0.0,0,0.0,2.294730885,10.08674783,1,1,LAPATINIB.VINBLASTINE
SKMES1,5-FU,MK-4827,10.0,10.0,0.863609007,1.29554604,63.18014155,10.0,1.081847084,63.33828006,0,0.0,-10.78190367,0.083865897,1,1,5-FU.MK-4827
NCIH520,CYCLOPHOSPHAMIDE,BEZ-235,10.0,0.4,1.0,0.0,100.0,0.02437376,2.13763422,29.52266197,0,1.0,19.61155117,19.61155117,1,1,BEZ-235.CYCLOPHOSPHAMIDE
OCUBM,MRK-003,METFORMIN,10.0,250.0,3.690503096,1.269203169,0.0,105.335499,10.0,70.60356817,0,1.0,13.22013473,18.14267289,1,1,METFORMIN.MRK-003
VCAP,L778123,MK-2206,5.0,4.0,3.174004224,0.786416349,25.31295892,0.372553606,0.892107393,19.96067855,0,1.0,-1.808894898,24.69521585,1,1,L778123.MK-2206
NCIH2122,CYCLOPHOSPHAMIDE,BEZ-235,10.0,0.4,1.0,0.0,100.0,0.048907116,1.409202624,20.43740449,0,1.0,3.01384127,3.01384127,1,1,BEZ-235.CYCLOPHOSPHAMIDE
SKMES1,MRK-003,SN-38,10.0,0.005,10.0,0.729049159,59.62029384,0.005,2.414655249,71.83916858,0,1.0,6.235508195,10.29483291,1,1,MRK-003.SN-38
NCIH1650,PD325901,OXALIPLATIN,0.1,20.0,0.022247656,0.866179183,83.08775928,6.727390998,1.454370598,45.11843056,0,1.0,-6.10738204,5.543933014,1,1,OXALIPLATIN.PD325901
NCIH1650,CYCLOPHOSPHAMIDE,ABT-888,10.0,10.0,1.0,0.0,100.0,10.0,1.186264744,63.97831135,0,0.0,-3.914128664,-3.914128664,1,1,ABT-888.CYCLOPHOSPHAMIDE
SW620,SUNITINIB,DINACICLIB,5.0,0.04,1.588234615,2.850232329,24.60716176,0.008632203,2.929524101,19.41772123,0,1.0,5.829233065,16.18338729,1,1,DINACICLIB.SUNITINIB
VCAP,GELDANAMYCIN,SN-38,2.0,0.005,1.999963848,9.999999991,34.01404002,0.001714255,10.0,82.79589887,0,0.0,2.732079822,4.034245863,1,1,GELDANAMYCIN.SN-38
PA1,DOXORUBICIN,L778123,0.3,5.0,0.010682836,10.0,2.334928135,1.816392559,1.054759976,38.99423397,0,1.0,-1.829370871,2.581111812,1,1,DOXORUBICIN.L778123
NCIH1650,LAPATINIB,OXALIPLATIN,5.0,20.0,0.208819388,1.201108998,40.52943821,6.727390998,1.454370598,45.11843056,0,0.0,-31.79858595,-5.298092192,1,1,LAPATINIB.OXALIPLATIN
UWB1289,L778123,SN-38,5.0,0.005,0.479317267,1.056099977,45.51825985,0.000408802,1.210360668,16.77019308,0,1.0,-9.104213797,17.24233074,1,1,L778123.SN-38
UWB1289,TEMOZOLOMIDE,DASATINIB,250.0,3.0,12.06003901,10.0,68.36842981,0.062868584,1.069060842,0.0,0,1.0,-18.02710043,3.623633951,1,1,DASATINIB.TEMOZOLOMIDE
UACC62,ETOPOSIDE,DINACICLIB,4.0,0.04,2.054591825,0.725000209,12.47907644,0.01410744,1.828153637,0.0,0,1.0,5.211366537,25.31534456,1,1,DINACICLIB.ETOPOSIDE
ES2,BORTEZOMIB,SORAFENIB,0.04,20.0,0.010181121,10.0,4.299070337,13.46329722,3.43811392,0.0,0,0.0,15.37708828,19.72704235,1,1,BORTEZOMIB.SORAFENIB
HT144,MRK-003,BORTEZOMIB,10.0,0.04,4.661251901,0.464899403,69.10872355,0.006916912,1.856032255,0.0,0,1.0,9.183300824,21.3490304,1,1,BORTEZOMIB.MRK-003
VCAP,PACLITAXEL,DASATINIB,0.04,3.0,0.002300667,3.022106968,4.151109898,0.540201168,10.0,88.4870337,0,1.0,17.00190816,22.95288913,1,1,DASATINIB.PACLITAXEL
HT29,AZD1775,MK-8776,0.5,4.0,0.342982665,3.163591651,0.0,0.985334465,1.925714601,61.37873827,0,1.0,67.43255308,73.49055423,1,1,AZD1775.MK-8776
LOVO,DEXAMETHASONE,ABT-888,10.0,10.0,0.0035,0.1,79.91763939,4.694207396,10.0,90.99692679,0,0.0,-12.58154873,-9.66668837,1,1,ABT-888.DEXAMETHASONE
A2780,DEXAMETHASONE,MK-8776,10.0,4.0,1.0,0.0,100.0,1.442302996,1.196558316,70.59979661,0,0.0,-2.242522098,-2.242522098,1,1,DEXAMETHASONE.MK-8776
OVCAR3,TEMOZOLOMIDE,SN-38,250.0,0.005,1.0,0.0,100.0,0.000123162,10.0,72.4817766,0,0.0,-8.934951137,-8.934951137,1,1,SN-38.TEMOZOLOMIDE
ES2,PD325901,SORAFENIB,0.1,20.0,0.013772609,1.127086793,49.30395914,13.46329722,3.43811392,0.0,0,1.0,16.7191781,26.48327102,1,1,PD325901.SORAFENIB
SKMES1,DASATINIB,DINACICLIB,3.0,0.04,0.190228682,1.443122731,30.87702988,0.021111322,2.592316703,0.0,0,0.0,-5.43904035,7.981205694,1,1,DASATINIB.DINACICLIB
LOVO,ERLOTINIB,ABT-888,5.0,10.0,0.461723915,0.663622405,14.10845212,4.694207396,10.0,90.99692679,0,1.0,-2.197891385,0.308888368,1,1,ABT-888.ERLOTINIB
SKMES1,CYCLOPHOSPHAMIDE,ZOLINZA,10.0,4.0,1.0,0.0,100.0,1.352610539,10.0,43.80399876,0,1.0,19.27439203,19.27439203,1,1,CYCLOPHOSPHAMIDE.ZOLINZA
PA1,DOXORUBICIN,MK-8669,0.3,0.01,0.010682836,10.0,2.334928135,0.000536966,10.0,85.69719959,0,1.0,9.316854764,11.77334937,1,1,DOXORUBICIN.MK-8669
NCIH2122,GELDANAMYCIN,MK-8776,2.0,4.0,0.102001461,10.0,10.04227814,0.43795554,2.129983949,21.5217691,0,0.0,-20.1565052,-0.816737236,1,1,GELDANAMYCIN.MK-8776
T47D,LAPATINIB,ABT-888,5.0,10.0,0.366750114,0.709811048,33.895983,9.999999992,0.740298445,66.68057453,0,0.0,-26.06873115,-11.14082671,1,1,ABT-888.LAPATINIB
MSTO,METHOTREXATE,AZD1775,0.2,0.5,0.016496732,1.959841761,11.3500112,0.370399709,3.012941298,0.0,0,0.0,-4.964712243,0.120538343,1,1,AZD1775.METHOTREXATE
SKMEL30,AZD1775,SORAFENIB,0.5,20.0,0.233841629,10.0,38.76971372,4.629098254,1.86921124,22.72973457,0,1.0,2.629478611,7.599012247,1,1,AZD1775.SORAFENIB
HT144,ERLOTINIB,BEZ-235,5.0,0.4,4.972358775,1.240779342,0.0,0.036413782,1.493740457,29.49027709,0,0.0,-10.02507566,9.159095066,1,1,BEZ-235.ERLOTINIB
SW837,MK-2206,SN-38,4.0,0.005,0.206308566,10.0,65.97735249,0.001450819,10.0,63.68866981,0,1.0,10.21596199,27.78521106,1,1,MK-2206.SN-38
ES2,L778123,ABT-888,5.0,10.0,2.268069866,3.883001709,66.41486752,1.0,0.0,100.0,0,0.0,-6.530793791,-6.530793791,1,1,ABT-888.L778123
SKOV3,VINBLASTINE,DASATINIB,0.04,3.0,0.019631761,1.779917435,33.73781069,0.05843383,0.873670331,21.03171487,0,1.0,-10.23988627,10.05092774,1,1,DASATINIB.VINBLASTINE
SW837,ZOLINZA,DINACICLIB,4.0,0.04,1.253704824,10.0,13.20446306,0.012604755,10.0,18.18335288,0,0.0,1.809654295,8.900978013,1,1,DINACICLIB.ZOLINZA
SKOV3,CYCLOPHOSPHAMIDE,LAPATINIB,10.0,5.0,1.0,0.0,100.0,0.266342994,1.345824261,66.50553236,0,0.0,-7.556249071,-7.556249071,1,1,CYCLOPHOSPHAMIDE.LAPATINIB
NCIH520,MRK-003,PD325901,10.0,0.1,10.0,0.917741925,15.06249287,1.0,0.0,100.0,0,0.0,-0.531793325,-0.531793325,1,1,MRK-003.PD325901
LOVO,ZOLINZA,ABT-888,4.0,10.0,1.348054755,1.798512686,0.0,4.694207396,10.0,90.99692679,0,1.0,1.745303486,3.545025809,1,1,ABT-888.ZOLINZA
HCT116,METHOTREXATE,MK-8776,0.2,4.0,0.01294925,10.0,14.14597159,1.323766562,10.0,87.79881093,0,0.0,-9.641042113,-8.480542671,1,1,METHOTREXATE.MK-8776
ES2,MRK-003,BEZ-235,10.0,0.4,10.0,2.081952655,57.2359014,0.065593314,1.112536082,30.35669072,0,1.0,11.23379782,18.65994916,1,1,BEZ-235.MRK-003
LOVO,VINBLASTINE,ERLOTINIB,0.04,5.0,0.013918679,0.944200696,5.987402036,0.461723915,0.663622405,14.10845212,0,1.0,19.65489569,60.12018292,1,1,ERLOTINIB.VINBLASTINE
OCUBM,SUNITINIB,SN-38,5.0,0.005,3.186994205,0.657578084,0.0,0.001197585,1.52934387,0.0,0,1.0,4.117417921,18.82735649,1,1,SN-38.SUNITINIB
SKMES1,SN-38,SORAFENIB,0.005,20.0,0.005,2.414655249,71.83916858,11.13349922,10.0,12.34893381,0,1.0,15.4635336,16.63310158,1,1,SN-38.SORAFENIB
NCIH2122,MITOMYCINE,ERLOTINIB,1.0,5.0,0.045254691,1.435175022,19.81352745,1.832641816,1.295925477,17.31900126,0,0.0,-76.46057672,-54.55057407,1,1,ERLOTINIB.MITOMYCINE
T47D,MK-5108,OXALIPLATIN,2.0,20.0,0.132837758,1.806249155,85.08567838,8.254213175,10.0,59.70339915,0,1.0,15.27227078,20.31900521,1,2,MK-5108.OXALIPLATIN
NCIH1650,ZOLINZA,TOPOTECAN,4.0,1.0,3.004272272,1.499067889,14.15978332,0.359360758,1.932809349,9.724701464,0,0.0,2.471003688,12.76351052,1,1,TOPOTECAN.ZOLINZA
NCIH1650,MITOMYCINE,AZD1775,1.0,0.5,0.391935566,1.38549681,9.596430836,0.328674141,1.636912448,24.05349402,0,1.0,25.01535642,37.04976222,1,1,AZD1775.MITOMYCINE
MDAMB436,PACLITAXEL,LAPATINIB,0.04,5.0,0.007774824,1.490827223,32.07244389,5.0,10.0,71.19274588,0,1.0,21.56764456,25.55871817,1,1,LAPATINIB.PACLITAXEL
NCIH2122,CYCLOPHOSPHAMIDE,ERLOTINIB,10.0,5.0,1.0,0.0,100.0,1.832641816,1.295925477,17.31900126,0,1.0,3.035429612,3.035429612,1,1,CYCLOPHOSPHAMIDE.ERLOTINIB
MSTO,OXALIPLATIN,MK-8776,20.0,4.0,7.24018904,1.980106362,27.30011331,0.959601137,3.152023786,13.04406555,0,0.0,-7.935004357,2.025854743,1,1,MK-8776.OXALIPLATIN
MSTO,METFORMIN,BORTEZOMIB,250.0,0.04,1.0,0.0,100.0,0.009499503,10.0,2.291517547,0,1.0,18.71524212,18.71524212,1,1,BORTEZOMIB.METFORMIN
MSTO,DEXAMETHASONE,ABT-888,10.0,10.0,10.0,0.156156432,64.83555902,10.0,0.1,90.46011865,0,0.0,-19.53688171,-11.68779834,1,1,ABT-888.DEXAMETHASONE
SKOV3,LAPATINIB,MK-4827,5.0,10.0,0.266342994,1.345824261,66.50553236,1.0,0.0,100.0,0,1.0,1.343969501,1.343969501,1,1,LAPATINIB.MK-4827
VCAP,5-FU,GELDANAMYCIN,10.0,2.0,10.0,10.0,62.9928202,1.999963848,9.999999991,34.01404002,0,1.0,19.12140751,20.10157476,1,1,5-FU.GELDANAMYCIN
T47D,MRK-003,BEZ-235,10.0,0.4,5.134224659,1.380732161,0.0,0.021191437,10.0,2.093628555,0,0.0,8.235627264,20.08692885,1,1,BEZ-235.MRK-003
HT144,SN-38,SORAFENIB,0.005,20.0,0.003306487,0.711465569,46.52343901,8.011267228,2.658048917,0.0,0,1.0,7.074738761,16.23314301,1,1,SN-38.SORAFENIB
NCIH1650,L778123,LAPATINIB,5.0,5.0,5.0,0.407740322,36.78702576,0.208819388,1.201108998,40.52943821,0,1.0,-20.36075702,7.109907129,1,1,L778123.LAPATINIB
HT144,ETOPOSIDE,ERLOTINIB,4.0,5.0,0.445445418,0.931500559,48.6497996,4.972358775,1.240779342,0.0,0,1.0,12.43681442,33.92761546,1,1,ERLOTINIB.ETOPOSIDE
OCUBM,MK-4541,GELDANAMYCIN,4.0,2.0,1.0,0.0,100.0,0.550621397,10.0,42.09998196,0,1.0,44.86858707,44.86858707,1,1,GELDANAMYCIN.MK-4541
RKO,MK-4541,AZD1775,4.0,0.5,1.0,0.0,100.0,0.236381455,10.0,57.07764202,0,1.0,5.140286632,5.140286632,1,1,AZD1775.MK-4541
NCIH520,METFORMIN,SORAFENIB,250.0,20.0,250.0,10.0,90.4005151,11.00250278,2.171286722,1.558846371,0,1.0,10.12105952,10.78116557,1,1,METFORMIN.SORAFENIB
MSTO,CARBOPLATIN,MK-8776,50.0,4.0,32.43197458,2.174885822,17.71287348,0.959601137,3.152023786,13.04406555,0,1.0,18.58050641,25.79922282,1,1,CARBOPLATIN.MK-8776
UWB1289,TEMOZOLOMIDE,TOPOTECAN,250.0,1.0,12.06003901,10.0,68.36842981,0.031631928,1.623216997,0.0,0,0.0,-17.6698476,-5.249322714,1,1,TEMOZOLOMIDE.TOPOTECAN
RKO,TEMOZOLOMIDE,DINACICLIB,250.0,0.04,1.0,0.0,100.0,0.016979083,2.014752373,0.0,0,1.0,1.807659164,1.807659164,1,1,DINACICLIB.TEMOZOLOMIDE
A2780,PACLITAXEL,ZOLINZA,0.04,4.0,0.001721701,10.0,17.00848006,2.348833052,2.075953047,0.0,0,0.0,-14.14084408,-1.696253943,1,1,PACLITAXEL.ZOLINZA
SKMEL30,MK-2206,TOPOTECAN,4.0,1.0,0.210249838,10.0,92.96282491,0.106876749,1.500027423,44.63512437,0,1.0,4.815542093,13.89706724,1,1,MK-2206.TOPOTECAN
PA1,ZOLINZA,PD325901,4.0,0.1,0.786668831,2.621075802,0.220209304,0.046590479,0.963605139,77.08402182,0,1.0,22.09899578,28.74167754,1,1,PD325901.ZOLINZA
SW620,MITOMYCINE,AZD1775,1.0,0.5,0.052402845,1.812535058,40.67460895,0.453095214,1.561476852,0.0,0,1.0,-5.598293049,9.865868964,1,1,AZD1775.MITOMYCINE
MDAMB436,ETOPOSIDE,LAPATINIB,4.0,5.0,0.309152213,1.352692502,49.75663342,5.0,10.0,71.19274588,0,1.0,16.24270955,21.70038424,1,1,ETOPOSIDE.LAPATINIB
OVCAR3,MRK-003,VINBLASTINE,10.0,0.04,0.587964659,2.963516773,68.06153173,0.011309424,2.129466229,0.0,0,1.0,40.6528667,60.52099228,1,1,MRK-003.VINBLASTINE
NCIH2122,MITOMYCINE,MK-5108,1.0,2.0,0.045254691,1.435175022,19.81352745,0.636662796,2.475294136,13.60254026,0,0.0,-29.42822811,-11.86731383,1,1,MITOMYCINE.MK-5108
SKMES1,MK-2206,SN-38,4.0,0.005,0.225509184,1.418624852,66.34938264,0.005,2.414655249,71.83916858,0,1.0,11.04949604,17.13336924,1,1,MK-2206.SN-38
PA1,5-FU,L778123,10.0,5.0,1.893809545,1.406479341,17.53436295,1.816392559,1.054759976,38.99423397,0,1.0,5.214747115,22.94196491,1,1,5-FU.L778123
HT29,GEMCITABINE,ABT-888,0.01,10.0,0.002965908,4.743741728,42.37212557,1.0,0.0,100.0,0,0.0,-3.153522959,-3.153522959,1,1,ABT-888.GEMCITABINE
HT144,METHOTREXATE,MK-5108,0.2,2.0,0.077158982,10.0,84.79335495,2.0,1.761202218,50.81535916,0,0.0,-8.617887712,-5.586930063,1,1,METHOTREXATE.MK-5108
SKMES1,CARBOPLATIN,MK-2206,50.0,4.0,50.0,1.279870124,56.91485535,0.225509184,1.418624852,66.34938264,0,0.0,-10.73993708,2.59903015,1,1,CARBOPLATIN.MK-2206
MDAMB436,MITOMYCINE,DINACICLIB,1.0,0.04,0.041011121,1.447632752,44.55656535,0.00780765,3.044342429,35.97604907,0,1.0,-10.72170752,16.10416399,1,1,DINACICLIB.MITOMYCINE
A427,VINBLASTINE,MK-5108,0.04,2.0,0.018423078,1.350091594,0.0,0.390090264,2.604689067,32.41686898,0,1.0,9.46024264,24.2950239,1,1,MK-5108.VINBLASTINE
A2780,DEXAMETHASONE,DASATINIB,10.0,3.0,1.0,0.0,100.0,0.021728225,1.676561871,76.04435925,0,1.0,6.126487898,6.126487898,1,1,DASATINIB.DEXAMETHASONE
SKMEL30,MRK-003,ERLOTINIB,10.0,5.0,3.438643263,10.0,60.69022844,4.999660268,9.999997915,49.62549882,0,1.0,29.30281905,32.22404307,1,1,ERLOTINIB.MRK-003
T47D,MK-5108,PD325901,2.0,0.1,2.0,0.402416979,35.20423507,0.1,0.412459853,58.27287108,0,1.0,-8.233114553,17.62275654,1,1,MK-5108.PD325901
VCAP,MK-8669,SORAFENIB,0.01,20.0,0.002263783,9.999999999,86.19389422,12.05227784,10.0,4.600210868,0,1.0,22.9683554,25.210743,1,1,MK-8669.SORAFENIB
NCIH2122,PACLITAXEL,TEMOZOLOMIDE,0.04,250.0,0.001716632,10.0,6.612943172,80.67835865,9.999999999,71.19977512,0,0.0,-233.9259519,-228.499018,1,1,PACLITAXEL.TEMOZOLOMIDE
T47D,ETOPOSIDE,ABT-888,4.0,10.0,0.709105502,1.266737274,9.076781542,9.999999992,0.740298445,66.68057453,0,1.0,8.382964852,20.52382362,1,1,ABT-888.ETOPOSIDE
A427,GEMCITABINE,TEMOZOLOMIDE,0.01,250.0,0.001701508,2.654619535,4.737832574,32.316478,0.590486659,43.20963743,0,1.0,-7.712545488,3.585672534,1,1,GEMCITABINE.TEMOZOLOMIDE
A2058,CYCLOPHOSPHAMIDE,L778123,10.0,5.0,1.0,0.0,100.0,1.545426397,3.047659608,72.1314021,0,1.0,3.267743991,3.267743991,1,1,CYCLOPHOSPHAMIDE.L778123
MDAMB436,L778123,GELDANAMYCIN,5.0,2.0,1.173467015,2.687719894,65.45447801,0.265165878,1.798012564,49.92869653,0,1.0,8.999116478,25.63300198,1,1,GELDANAMYCIN.L778123
UWB1289,TEMOZOLOMIDE,ABT-888,250.0,10.0,12.06003901,10.0,68.36842981,10.0,1.912508276,72.83692041,0,1.0,18.82351554,24.72502099,1,1,ABT-888.TEMOZOLOMIDE
A427,ERLOTINIB,BEZ-235,5.0,0.4,4.543701048,0.951436088,0.0,0.053226321,1.053642175,41.16940505,0,1.0,4.605731082,32.04233478,1,1,BEZ-235.ERLOTINIB
UWB1289,AZD1775,SORAFENIB,0.5,20.0,0.053169677,1.602490427,5.175709362,3.926954608,2.628513268,0.0,0,0.0,-5.167410064,2.899122737,1,1,AZD1775.SORAFENIB
LOVO,L778123,OXALIPLATIN,5.0,20.0,0.313159157,10.0,51.24754861,2.512137223,1.32868653,21.25764311,0,1.0,-22.25225821,3.359819564,1,1,L778123.OXALIPLATIN
OV90,VINBLASTINE,DASATINIB,0.04,3.0,0.03897731,1.441247592,0.0,0.159067405,2.488705938,47.44086915,0,0.0,-14.58587046,4.620294048,1,1,DASATINIB.VINBLASTINE
A2058,ETOPOSIDE,MK-4827,4.0,10.0,0.209211814,10.0,11.2222446,0.795697826,5.551021216,35.26137926,0,0.0,-23.61586796,-2.304751534,1,1,ETOPOSIDE.MK-4827
MDAMB436,MK-4541,GEMCITABINE,4.0,0.01,4.0,10.0,83.8046354,0.002544707,10.0,38.88507061,0,0.0,-3.278048172,-2.24507887,1,1,GEMCITABINE.MK-4541
A375,PACLITAXEL,MK-8776,0.04,4.0,0.01826663,1.343128949,0.0,1.431324925,1.301807158,66.84273325,0,1.0,31.09204638,44.96872459,1,1,MK-8776.PACLITAXEL
RKO,PD325901,SN-38,0.1,0.005,0.1,0.63541757,61.53054138,0.001790296,10.0,63.39789116,0,1.0,18.17444042,24.30569608,1,1,PD325901.SN-38
UWB1289,METFORMIN,MK-5108,250.0,2.0,250.0,1.848029044,65.20415947,0.236207616,1.682351586,42.84409791,0,0.0,-4.582876721,0.678189246,1,1,METFORMIN.MK-5108
A2058,SUNITINIB,LAPATINIB,5.0,5.0,2.294908108,3.504056294,24.61693666,5.0,10.0,59.80176276,0,1.0,33.98742098,36.07089713,1,1,LAPATINIB.SUNITINIB
MDAMB436,MK-5108,MK-4827,2.0,10.0,0.776514635,10.0,77.19701931,0.593317077,1.196838804,58.91506786,0,1.0,11.00493192,19.09542213,1,1,MK-4827.MK-5108
SKMES1,MK-8669,SN-38,0.01,0.005,0.003326849,1.970468303,81.72686087,0.005,2.414655249,71.83916858,0,1.0,19.84547501,22.67084832,1,1,MK-8669.SN-38
OVCAR3,ETOPOSIDE,SUNITINIB,4.0,5.0,0.193795465,10.0,53.51814968,2.278786328,10.0,83.87790724,0,0.0,-18.13845022,-12.24074154,1,1,ETOPOSIDE.SUNITINIB
NCIH2122,PACLITAXEL,MK-8669,0.04,0.01,0.001716632,10.0,6.612943172,0.002758229,10.0,89.49994603,0,0.0,-10.04866116,-7.766760735,1,1,MK-8669.PACLITAXEL
A375,ZOLINZA,SN-38,4.0,0.005,3.252136421,2.298177563,0.0,0.005,10.0,59.21108016,0,1.0,23.89771697,25.52468382,1,1,SN-38.ZOLINZA
DLD1,MK-8669,TOPOTECAN,0.01,1.0,0.002164093,1.372532598,89.88363897,0.098491347,1.374415069,37.62795605,0,1.0,2.302864652,9.581208633,1,1,MK-8669.TOPOTECAN
ES2,LAPATINIB,TOPOTECAN,5.0,1.0,5.0,1.763984556,90.02984763,0.079038019,1.700933256,0.517299404,0,1.0,-0.063756237,1.168403525,1,1,LAPATINIB.TOPOTECAN
A2058,MK-8669,TOPOTECAN,0.01,1.0,0.00102899,2.008823373,78.66141835,0.061665385,2.134367458,15.56262101,0,0.0,-26.60730526,-15.45572921,1,1,MK-8669.TOPOTECAN
A375,CARBOPLATIN,MK-8776,50.0,4.0,16.51765313,10.0,73.70106761,1.431324925,1.301807158,66.84273325,0,1.0,20.32399319,25.4126746,1,1,CARBOPLATIN.MK-8776
OV90,MRK-003,DASATINIB,10.0,3.0,10.0,0.784745814,21.78976649,0.159067405,2.488705938,47.44086915,0,1.0,-1.546533027,23.02862636,1,1,DASATINIB.MRK-003
HT144,ETOPOSIDE,MK-2206,4.0,4.0,0.445445418,0.931500559,48.6497996,0.283652859,1.000726111,84.0485814,0,1.0,16.99746421,40.14888049,1,1,ETOPOSIDE.MK-2206
SKMES1,GEMCITABINE,MK-5108,0.01,2.0,0.000126642,0.307810533,0.0,0.46434991,2.090275458,42.20360798,0,1.0,5.555798289,14.46764284,1,1,GEMCITABINE.MK-5108
VCAP,AZD1775,LAPATINIB,0.5,5.0,0.236579327,10.0,8.64986852,0.591393554,1.76008894,87.12517882,0,1.0,5.303835486,9.594932769,1,1,AZD1775.LAPATINIB
