CELL_LINE.DRUG,GENEA,GENEB,SCORE,SOURCE
HCT-15.MK-4827,DLGAP5,PARP2,0.2,mutation
HCT-15.MK-4827,CHEK2,PARP1,0.1775,mutation
HCT-15.MK-4827,PARP1,RMND5A,0.176,mutation
HCT-15.MK-4827,KRAS,PARP1,0.1775,mutation
HCT-15.MK-4827,MLH1,PARP1,0.273125,mutation
HCT-15.MK-4827,GTF2H1,PARP1,0.536,mutation
HCT-15.MK-4827,GTF2H1,PARP2,0.539,mutation
HCT-15.MK-4827,CETN2,PARP1,0.548,mutation
HCT-15.MK-4827,CETN2,PARP2,0.554,mutation
HCT-15.MK-4827,BAX,PARP1,0.1775,mutation
HCT-15.MK-4827,ATM,PARP1,0.85,mutation
HCT-15.MK-4827,ATM,PARP2,0.56,mutation
HCT-15.MK-4827,ATR,PARP1,0.4305,mutation
HCT-15.MK-4827,CDK5,PARP1,0.304,mutation
HCT-15.MK-4827,PARP1,TP53,0.5173143,mutation
HCT-15.MK-4827,NFKBIA,PARP1,0.1775,mutation
HCT-15.MK-4827,PARP1,RAD21,0.855,mutation
HCT-15.MK-4827,PARP2,RAD21,0.855,mutation
HCT-15.MK-4827,PARP1,USP11,0.1775,mutation
HCT-15.MK-4827,PARP1,SMC3,0.855,mutation
HCT-15.MK-4827,PARP2,SMC3,0.855,mutation
HCT-15.MK-4827,GMNN,PARP1,0.2,mutation
HCT-15.MK-4827,BRCA1,PARP1,0.99,mutation
HCT-15.MK-4827,BRCA1,PARP2,0.873,mutation
HCT-15.MK-4827,BRCA2,PARP1,0.85,mutation
HCT-15.MK-4827,BRCA2,PARP2,0.855,mutation
HCT-15.MK-4827,KDR,PARP1,0.554,mutation
HCT-15.MK-4827,KDR,PARP2,0.557,mutation
HCT-15.MK-4827,PARP1,TP53BP1,0.304,mutation
HCT-15.MK-4827,CASP8,PARP1,0.4305,mutation
HCT-15.MK-4827,DAPK1,PARP1,0.1775,mutation
HCT-15.MK-4827,PARP1,POLE,0.548,mutation
HCT-15.MK-4827,PARP2,POLE,0.536,mutation
HCT-15.MK-4827,ALK,PARP1,0.1775,mutation
HCT-15.MK-4827,NLRP2,PARP1,0.34334375,mutation
HCT-15.MK-4827,GORASP1,PARP1,0.1775,mutation
HCT-15.MK-4827,PARP1,PARP2,0.273125,mutation
HCT-15.MK-4827,NIPBL,PARP1,0.855,mutation
HCT-15.MK-4827,PARP1,STAG1,0.855,mutation
HCT-15.MK-4827,PARP2,STAG1,0.855,mutation
HCT-15.MK-4827,PARP1,POLD1,0.56,mutation
HCT-15.MK-4827,PARP2,POLD1,0.557,mutation
HCT-15.SORAFENIB,PDGFRA,TJP1,0.527,mutation
HCT-15.SORAFENIB,PDGFRB,TJP1,0.527,mutation
HCT-15.SORAFENIB,KIT,TJP1,0.527,mutation
HCT-15.SORAFENIB,KIT,KRAS,0.44,mutation
HCT-15.SORAFENIB,GTF2H1,KDR,0.554,mutation
HCT-15.SORAFENIB,ABCC10,KDR,0.473,mutation
HCT-15.SORAFENIB,COL3A1,PDGFRA,0.521,mutation
HCT-15.SORAFENIB,COL3A1,PDGFRB,0.521,mutation
HCT-15.SORAFENIB,COL3A1,KIT,0.521,mutation
HCT-15.SORAFENIB,CETN2,KDR,0.551,mutation
HCT-15.SORAFENIB,PDGFRA,RAP1A,0.503,mutation
HCT-15.SORAFENIB,PDGFRB,RAP1A,0.503,mutation
HCT-15.SORAFENIB,KIT,RAP1A,0.503,mutation
HCT-15.SORAFENIB,PDGFRA,TRIP11,0.509,mutation
HCT-15.SORAFENIB,PDGFRB,TRIP11,0.509,mutation
HCT-15.SORAFENIB,KIT,TRIP11,0.509,mutation
HCT-15.SORAFENIB,PDGFRA,PPP3CB,0.443,mutation
HCT-15.SORAFENIB,PDGFRB,PPP3CB,0.443,mutation
HCT-15.SORAFENIB,KIT,PPP3CB,0.443,mutation
HCT-15.SORAFENIB,PDGFRA,SPTB,0.506,mutation
HCT-15.SORAFENIB,PDGFRB,SPTB,0.506,mutation
HCT-15.SORAFENIB,KIT,SPTB,0.506,mutation
HCT-15.SORAFENIB,CEACAM1,PDGFRA,0.509,mutation
HCT-15.SORAFENIB,CEACAM1,PDGFRB,0.509,mutation
HCT-15.SORAFENIB,CEACAM1,KIT,0.509,mutation
HCT-15.SORAFENIB,ATM,KDR,0.53,mutation
HCT-15.SORAFENIB,CARS,PDGFRA,0.506,mutation
HCT-15.SORAFENIB,CARS,PDGFRB,0.506,mutation
HCT-15.SORAFENIB,CARS,KIT,0.506,mutation
HCT-15.SORAFENIB,PDGFRA,PRKCQ,0.521,mutation
HCT-15.SORAFENIB,PDGFRB,PRKCQ,0.521,mutation
HCT-15.SORAFENIB,KIT,PRKCQ,0.521,mutation
HCT-15.SORAFENIB,CTSB,PDGFRA,0.506,mutation
HCT-15.SORAFENIB,CTSB,PDGFRB,0.506,mutation
HCT-15.SORAFENIB,CTSB,KIT,0.506,mutation
HCT-15.SORAFENIB,EPB42,PDGFRA,0.506,mutation
HCT-15.SORAFENIB,EPB42,PDGFRB,0.506,mutation
HCT-15.SORAFENIB,EPB42,KIT,0.506,mutation
HCT-15.SORAFENIB,PDGFRA,UBA6,0.515,mutation
HCT-15.SORAFENIB,PDGFRB,UBA6,0.515,mutation
HCT-15.SORAFENIB,KIT,UBA6,0.515,mutation
HCT-15.SORAFENIB,PDGFRB,TP53,0.4305,mutation
HCT-15.SORAFENIB,KDR,TP53,0.4305,mutation
HCT-15.SORAFENIB,KIT,TP53,0.1775,mutation
HCT-15.SORAFENIB,PDGFRA,SP100,0.503,mutation
HCT-15.SORAFENIB,PDGFRB,SP100,0.503,mutation
HCT-15.SORAFENIB,KIT,SP100,0.503,mutation
HCT-15.SORAFENIB,CLTC,PDGFRA,0.524,mutation
HCT-15.SORAFENIB,CLTC,PDGFRB,0.524,mutation
HCT-15.SORAFENIB,CLTC,KIT,0.524,mutation
HCT-15.SORAFENIB,CNR1,PDGFRA,0.506,mutation
HCT-15.SORAFENIB,CNR1,PDGFRB,0.506,mutation
HCT-15.SORAFENIB,CNR1,KIT,0.506,mutation
HCT-15.SORAFENIB,PDGFRA,SETMAR,0.506,mutation
HCT-15.SORAFENIB,PDGFRB,SETMAR,0.506,mutation
HCT-15.SORAFENIB,KIT,SETMAR,0.506,mutation
HCT-15.SORAFENIB,CMPK1,KDR,0.473,mutation
HCT-15.SORAFENIB,PDGFRA,PYROXD1,0.503,mutation
HCT-15.SORAFENIB,PDGFRB,PYROXD1,0.503,mutation
HCT-15.SORAFENIB,KIT,PYROXD1,0.503,mutation
HCT-15.SORAFENIB,ANK3,PDGFRA,0.506,mutation
HCT-15.SORAFENIB,ANK3,PDGFRB,0.506,mutation
HCT-15.SORAFENIB,ANK3,KIT,0.506,mutation
HCT-15.SORAFENIB,LIPE,PDGFRA,0.554,mutation
HCT-15.SORAFENIB,LIPE,PDGFRB,0.554,mutation
HCT-15.SORAFENIB,KIT,LIPE,0.554,mutation
HCT-15.SORAFENIB,ATP7A,PDGFRA,0.509,mutation
HCT-15.SORAFENIB,ATP7A,PDGFRB,0.509,mutation
HCT-15.SORAFENIB,ATP7A,KIT,0.509,mutation
HCT-15.SORAFENIB,BRCA1,KDR,0.545,mutation
HCT-15.SORAFENIB,KDR,PDGFRB,0.4305,mutation
HCT-15.SORAFENIB,NFATC2IP,PDGFRA,0.44,mutation
HCT-15.SORAFENIB,NFATC2IP,PDGFRB,0.44,mutation
HCT-15.SORAFENIB,KIT,NFATC2IP,0.44,mutation
HCT-15.SORAFENIB,MYST3,PDGFRA,0.512,mutation
HCT-15.SORAFENIB,MYST3,PDGFRB,0.512,mutation
HCT-15.SORAFENIB,KIT,MYST3,0.512,mutation
HCT-15.SORAFENIB,PDGFRA,SEL1L,0.506,mutation
HCT-15.SORAFENIB,PDGFRB,SEL1L,0.506,mutation
HCT-15.SORAFENIB,KIT,SEL1L,0.506,mutation
HCT-15.SORAFENIB,PDE4DIP,PDGFRA,0.554,mutation
HCT-15.SORAFENIB,PDE4DIP,PDGFRB,0.554,mutation
HCT-15.SORAFENIB,KIT,PDE4DIP,0.554,mutation
HCT-15.SORAFENIB,PDGFRA,PDLIM5,0.587,mutation
HCT-15.SORAFENIB,PDGFRB,PDLIM5,0.587,mutation
HCT-15.SORAFENIB,KIT,PDLIM5,0.587,mutation
HCT-15.SORAFENIB,PDE6C,PDGFRA,0.443,mutation
HCT-15.SORAFENIB,PDE6C,PDGFRB,0.443,mutation
HCT-15.SORAFENIB,KIT,PDE6C,0.443,mutation
HCT-15.SORAFENIB,PDGFRA,TLE1,0.509,mutation
HCT-15.SORAFENIB,PDGFRB,TLE1,0.509,mutation
HCT-15.SORAFENIB,KIT,TLE1,0.509,mutation
HCT-15.SORAFENIB,KDR,POLE,0.503,mutation
HCT-15.SORAFENIB,PDGFRA,UTP14A,0.539,mutation
HCT-15.SORAFENIB,PDGFRB,UTP14A,0.539,mutation
HCT-15.SORAFENIB,KIT,UTP14A,0.539,mutation
HCT-15.SORAFENIB,ABCB1,KDR,0.473,mutation
HCT-15.SORAFENIB,DDX26B,PDGFRA,0.506,mutation
HCT-15.SORAFENIB,DDX26B,PDGFRB,0.506,mutation
HCT-15.SORAFENIB,DDX26B,KIT,0.506,mutation
HCT-15.SORAFENIB,FLT3,KIT,0.56,mutation
HCT-15.SORAFENIB,KDR,PARP2,0.557,mutation
HCT-15.SORAFENIB,CACNA2D2,PDGFRA,0.503,mutation
HCT-15.SORAFENIB,CACNA2D2,PDGFRB,0.503,mutation
HCT-15.SORAFENIB,CACNA2D2,KIT,0.503,mutation
HCT-15.SORAFENIB,KDR,POLD1,0.554,mutation
HCT-15.SORAFENIB,GPC5,PDGFRA,0.521,mutation
HCT-15.SORAFENIB,GPC5,PDGFRB,0.521,mutation
HCT-15.SORAFENIB,GPC5,KIT,0.521,mutation
HCT-15.ABT-888,PARP1,PIK3CA,0.34334375,mutation
HCT-15.ABT-888,PARP1,TOP1,0.1775,mutation
HCT-15.ABT-888,CD177,PARP1,0.1775,mutation
HCT-15.ABT-888,DLGAP5,PARP2,0.2,mutation
HCT-15.ABT-888,CHEK2,PARP1,0.1775,mutation
HCT-15.ABT-888,PARP1,RMND5A,0.176,mutation
HCT-15.ABT-888,KRAS,PARP1,0.1775,mutation
HCT-15.ABT-888,MLH1,PARP1,0.273125,mutation
HCT-15.ABT-888,GTF2H1,PARP1,0.536,mutation
HCT-15.ABT-888,GTF2H1,PARP2,0.539,mutation
HCT-15.ABT-888,CETN2,PARP1,0.548,mutation
HCT-15.ABT-888,CETN2,PARP2,0.554,mutation
HCT-15.ABT-888,BAX,PARP1,0.1775,mutation
HCT-15.ABT-888,ATM,PARP1,0.85,mutation
HCT-15.ABT-888,ATM,PARP2,0.56,mutation
HCT-15.ABT-888,ATR,PARP1,0.4305,mutation
HCT-15.ABT-888,CDK5,PARP1,0.304,mutation
HCT-15.ABT-888,PARP1,TP53,0.5173143,mutation
HCT-15.ABT-888,NFKBIA,PARP1,0.1775,mutation
HCT-15.ABT-888,PARP1,RAD21,0.855,mutation
HCT-15.ABT-888,PARP2,RAD21,0.855,mutation
HCT-15.ABT-888,PARP1,USP11,0.1775,mutation
HCT-15.ABT-888,PARP1,SMC3,0.855,mutation
HCT-15.ABT-888,PARP2,SMC3,0.855,mutation
HCT-15.ABT-888,GMNN,PARP1,0.2,mutation
HCT-15.ABT-888,BRCA1,PARP1,0.99,mutation
HCT-15.ABT-888,BRCA1,PARP2,0.873,mutation
HCT-15.ABT-888,BRCA2,PARP1,0.85,mutation
HCT-15.ABT-888,BRCA2,PARP2,0.855,mutation
HCT-15.ABT-888,KDR,PARP1,0.554,mutation
HCT-15.ABT-888,KDR,PARP2,0.557,mutation
HCT-15.ABT-888,PARP1,TP53BP1,0.304,mutation
HCT-15.ABT-888,CASP8,PARP1,0.4305,mutation
HCT-15.ABT-888,DAPK1,PARP1,0.1775,mutation
HCT-15.ABT-888,PARP1,POLE,0.548,mutation
HCT-15.ABT-888,PARP2,POLE,0.536,mutation
HCT-15.ABT-888,ALK,PARP1,0.1775,mutation
HCT-15.ABT-888,NLRP2,PARP1,0.34334375,mutation
HCT-15.ABT-888,GORASP1,PARP1,0.1775,mutation
HCT-15.ABT-888,PARP1,PARP2,0.273125,mutation
HCT-15.ABT-888,NIPBL,PARP1,0.855,mutation
HCT-15.ABT-888,PARP1,STAG1,0.855,mutation
HCT-15.ABT-888,PARP2,STAG1,0.855,mutation
HCT-15.ABT-888,PARP1,POLD1,0.56,mutation
HCT-15.ABT-888,PARP2,POLD1,0.557,mutation
HCT-15.MK-8669,MTOR,PIK3CA,0.4305,mutation
HCT-15.MK-8669,KRAS,MTOR,0.461,mutation
HCT-15.MK-8669,GTF2H1,MTOR,0.557,mutation
HCT-15.MK-8669,CETN2,MTOR,0.548,mutation
HCT-15.MK-8669,ATM,MTOR,0.554,mutation
HCT-15.MK-8669,ATR,MTOR,0.56,mutation
HCT-15.MK-8669,MTOR,TP53,0.464375,mutation
HCT-15.MK-8669,EZH2,MTOR,0.1775,mutation
HCT-15.MK-8669,BRCA1,MTOR,0.548,mutation
HCT-15.MK-8669,KDR,MTOR,0.545,mutation
HCT-15.MK-8669,MTOR,POLE,0.542,mutation
HCT-15.MK-8669,ALK,MTOR,0.1775,mutation
HCT-15.MK-8669,EIF4E,MTOR,0.56,mutation
HCT-15.MK-8669,DAB2IP,MTOR,0.1775,mutation
HCT-15.MK-8669,MTOR,PARP2,0.557,mutation
HCT-15.MK-8669,MTOR,POLD1,0.545,mutation
HCT-15.MK-8669,GLI2,MTOR,0.56,mutation
HCT-15.MK-8669,GLI1,MTOR,0.56,mutation
HCT-15.GEMCITABINE,CAMK1,RRM1,0.602,mutation
HCT-15.GEMCITABINE,CAMK1,TYMS,0.602,mutation
HCT-15.GEMCITABINE,CAMK1,CMPK1,0.602,mutation
HCT-15.GEMCITABINE,RRM1,SPHK1,0.473,mutation
HCT-15.GEMCITABINE,SPHK1,TYMS,0.473,mutation
HCT-15.GEMCITABINE,CMPK1,SPHK1,0.473,mutation
HCT-15.GEMCITABINE,THOC1,TYMS,0.2,mutation
HCT-15.GEMCITABINE,KRAS,RRM1,0.536,mutation
HCT-15.GEMCITABINE,GTF2H1,RRM1,0.512,mutation
HCT-15.GEMCITABINE,ABCC10,RRM1,0.5,mutation
HCT-15.GEMCITABINE,CETN2,RRM1,0.518,mutation
HCT-15.GEMCITABINE,RRM1,TYRO3,0.446,mutation
HCT-15.GEMCITABINE,TYMS,TYRO3,0.446,mutation
HCT-15.GEMCITABINE,CMPK1,TYRO3,0.446,mutation
HCT-15.GEMCITABINE,LRRC40,RRM1,0.17,mutation
HCT-15.GEMCITABINE,BARD1,TYMS,0.2,mutation
HCT-15.GEMCITABINE,ATM,RRM1,0.53,mutation
HCT-15.GEMCITABINE,ATR,RRM1,0.62,mutation
HCT-15.GEMCITABINE,ATR,TYMS,0.62,mutation
HCT-15.GEMCITABINE,ATR,CMPK1,0.62,mutation
HCT-15.GEMCITABINE,CARS,RRM1,0.5,mutation
HCT-15.GEMCITABINE,CARS,TYMS,0.5,mutation
HCT-15.GEMCITABINE,CARS,CMPK1,0.5,mutation
HCT-15.GEMCITABINE,MAP3K1,RRM1,0.5,mutation
HCT-15.GEMCITABINE,MAP3K1,TYMS,0.5,mutation
HCT-15.GEMCITABINE,CMPK1,MAP3K1,0.5,mutation
HCT-15.GEMCITABINE,CMPK1,GPBP1L1,0.2,mutation
HCT-15.GEMCITABINE,CMPK1,RRM1,0.5,mutation
HCT-15.GEMCITABINE,DGKA,RRM1,0.56,mutation
HCT-15.GEMCITABINE,DGKA,TYMS,0.56,mutation
HCT-15.GEMCITABINE,CMPK1,DGKA,0.56,mutation
HCT-15.GEMCITABINE,CDKL5,RRM1,0.473,mutation
HCT-15.GEMCITABINE,CDKL5,TYMS,0.473,mutation
HCT-15.GEMCITABINE,CDKL5,CMPK1,0.473,mutation
HCT-15.GEMCITABINE,AURKA,RRM1,0.563,mutation
HCT-15.GEMCITABINE,AURKA,TYMS,0.563,mutation
HCT-15.GEMCITABINE,AURKA,CMPK1,0.563,mutation
HCT-15.GEMCITABINE,BRCA1,RRM1,0.497,mutation
HCT-15.GEMCITABINE,RRM1,VRK3,0.467,mutation
HCT-15.GEMCITABINE,TYMS,VRK3,0.467,mutation
HCT-15.GEMCITABINE,CMPK1,VRK3,0.467,mutation
HCT-15.GEMCITABINE,KDR,RRM1,0.675,mutation
HCT-15.GEMCITABINE,KDR,TYMS,0.473,mutation
HCT-15.GEMCITABINE,CMPK1,KDR,0.473,mutation
HCT-15.GEMCITABINE,EPHA1,RRM1,0.5,mutation
HCT-15.GEMCITABINE,EPHA1,TYMS,0.5,mutation
HCT-15.GEMCITABINE,CMPK1,EPHA1,0.5,mutation
HCT-15.GEMCITABINE,RIPK2,RRM1,0.446,mutation
HCT-15.GEMCITABINE,RIPK2,TYMS,0.446,mutation
HCT-15.GEMCITABINE,CMPK1,RIPK2,0.446,mutation
HCT-15.GEMCITABINE,POLE,RRM1,0.509,mutation
HCT-15.GEMCITABINE,ASPM,RRM1,0.5,mutation
HCT-15.GEMCITABINE,ASPM,TYMS,0.5,mutation
HCT-15.GEMCITABINE,ASPM,CMPK1,0.5,mutation
HCT-15.GEMCITABINE,RBM12,RRM1,0.5,mutation
HCT-15.GEMCITABINE,RBM12,TYMS,0.5,mutation
HCT-15.GEMCITABINE,CMPK1,RBM12,0.5,mutation
HCT-15.GEMCITABINE,CSK,RRM1,0.473,mutation
HCT-15.GEMCITABINE,CSK,TYMS,0.473,mutation
HCT-15.GEMCITABINE,CMPK1,CSK,0.473,mutation
HCT-15.GEMCITABINE,ABCB1,RRM1,0.5,mutation
HCT-15.GEMCITABINE,PARP2,RRM1,0.527,mutation
HCT-15.GEMCITABINE,MARK1,RRM1,0.569,mutation
HCT-15.GEMCITABINE,MARK1,TYMS,0.569,mutation
HCT-15.GEMCITABINE,CMPK1,MARK1,0.569,mutation
HCT-15.GEMCITABINE,MAP2K7,RRM1,0.467,mutation
HCT-15.GEMCITABINE,MAP2K7,TYMS,0.467,mutation
HCT-15.GEMCITABINE,CMPK1,MAP2K7,0.467,mutation
HCT-15.GEMCITABINE,CSNK1E,RRM1,0.482,mutation
HCT-15.GEMCITABINE,CSNK1E,TYMS,0.482,mutation
HCT-15.GEMCITABINE,CMPK1,CSNK1E,0.482,mutation
HCT-15.GEMCITABINE,POLD1,RRM1,0.53,mutation
HCT-15.GEMCITABINE,FER,RRM1,0.473,mutation
HCT-15.GEMCITABINE,FER,TYMS,0.473,mutation
HCT-15.GEMCITABINE,CMPK1,FER,0.473,mutation
HCT-15.SUNITINIB,PDGFRA,TJP1,0.527,mutation
HCT-15.SUNITINIB,PDGFRB,TJP1,0.527,mutation
HCT-15.SUNITINIB,KIT,TJP1,0.527,mutation
HCT-15.SUNITINIB,KIT,KRAS,0.44,mutation
HCT-15.SUNITINIB,GTF2H1,KDR,0.554,mutation
HCT-15.SUNITINIB,ABCC10,KDR,0.473,mutation
HCT-15.SUNITINIB,COL3A1,PDGFRA,0.521,mutation
HCT-15.SUNITINIB,COL3A1,PDGFRB,0.521,mutation
HCT-15.SUNITINIB,COL3A1,KIT,0.521,mutation
HCT-15.SUNITINIB,CETN2,KDR,0.551,mutation
HCT-15.SUNITINIB,PDGFRA,RAP1A,0.503,mutation
HCT-15.SUNITINIB,PDGFRB,RAP1A,0.503,mutation
HCT-15.SUNITINIB,KIT,RAP1A,0.503,mutation
HCT-15.SUNITINIB,PDGFRA,TRIP11,0.509,mutation
HCT-15.SUNITINIB,PDGFRB,TRIP11,0.509,mutation
HCT-15.SUNITINIB,KIT,TRIP11,0.509,mutation
HCT-15.SUNITINIB,PDGFRA,PPP3CB,0.443,mutation
HCT-15.SUNITINIB,PDGFRB,PPP3CB,0.443,mutation
HCT-15.SUNITINIB,KIT,PPP3CB,0.443,mutation
HCT-15.SUNITINIB,PDGFRA,SPTB,0.506,mutation
HCT-15.SUNITINIB,PDGFRB,SPTB,0.506,mutation
HCT-15.SUNITINIB,KIT,SPTB,0.506,mutation
HCT-15.SUNITINIB,CEACAM1,PDGFRA,0.509,mutation
HCT-15.SUNITINIB,CEACAM1,PDGFRB,0.509,mutation
HCT-15.SUNITINIB,CEACAM1,KIT,0.509,mutation
HCT-15.SUNITINIB,ATM,KDR,0.53,mutation
HCT-15.SUNITINIB,CARS,PDGFRA,0.506,mutation
HCT-15.SUNITINIB,CARS,PDGFRB,0.506,mutation
HCT-15.SUNITINIB,CARS,KIT,0.506,mutation
HCT-15.SUNITINIB,PDGFRA,PRKCQ,0.521,mutation
HCT-15.SUNITINIB,PDGFRB,PRKCQ,0.521,mutation
HCT-15.SUNITINIB,KIT,PRKCQ,0.521,mutation
HCT-15.SUNITINIB,CTSB,PDGFRA,0.506,mutation
HCT-15.SUNITINIB,CTSB,PDGFRB,0.506,mutation
HCT-15.SUNITINIB,CTSB,KIT,0.506,mutation
HCT-15.SUNITINIB,EPB42,PDGFRA,0.506,mutation
HCT-15.SUNITINIB,EPB42,PDGFRB,0.506,mutation
HCT-15.SUNITINIB,EPB42,KIT,0.506,mutation
HCT-15.SUNITINIB,PDGFRA,UBA6,0.515,mutation
HCT-15.SUNITINIB,PDGFRB,UBA6,0.515,mutation
HCT-15.SUNITINIB,KIT,UBA6,0.515,mutation
HCT-15.SUNITINIB,PDGFRB,TP53,0.4305,mutation
HCT-15.SUNITINIB,KDR,TP53,0.4305,mutation
HCT-15.SUNITINIB,KIT,TP53,0.1775,mutation
HCT-15.SUNITINIB,PDGFRA,SP100,0.503,mutation
HCT-15.SUNITINIB,PDGFRB,SP100,0.503,mutation
HCT-15.SUNITINIB,KIT,SP100,0.503,mutation
HCT-15.SUNITINIB,CLTC,PDGFRA,0.524,mutation
HCT-15.SUNITINIB,CLTC,PDGFRB,0.524,mutation
HCT-15.SUNITINIB,CLTC,KIT,0.524,mutation
HCT-15.SUNITINIB,CNR1,PDGFRA,0.506,mutation
HCT-15.SUNITINIB,CNR1,PDGFRB,0.506,mutation
HCT-15.SUNITINIB,CNR1,KIT,0.506,mutation
HCT-15.SUNITINIB,PDGFRA,SETMAR,0.506,mutation
HCT-15.SUNITINIB,PDGFRB,SETMAR,0.506,mutation
HCT-15.SUNITINIB,KIT,SETMAR,0.506,mutation
HCT-15.SUNITINIB,CMPK1,KDR,0.473,mutation
HCT-15.SUNITINIB,PDGFRA,PYROXD1,0.503,mutation
HCT-15.SUNITINIB,PDGFRB,PYROXD1,0.503,mutation
HCT-15.SUNITINIB,KIT,PYROXD1,0.503,mutation
HCT-15.SUNITINIB,ANK3,PDGFRA,0.506,mutation
HCT-15.SUNITINIB,ANK3,PDGFRB,0.506,mutation
HCT-15.SUNITINIB,ANK3,KIT,0.506,mutation
HCT-15.SUNITINIB,LIPE,PDGFRA,0.554,mutation
HCT-15.SUNITINIB,LIPE,PDGFRB,0.554,mutation
HCT-15.SUNITINIB,KIT,LIPE,0.554,mutation
HCT-15.SUNITINIB,ATP7A,PDGFRA,0.509,mutation
HCT-15.SUNITINIB,ATP7A,PDGFRB,0.509,mutation
HCT-15.SUNITINIB,ATP7A,KIT,0.509,mutation
HCT-15.SUNITINIB,BRCA1,KDR,0.545,mutation
HCT-15.SUNITINIB,KDR,PDGFRB,0.4305,mutation
HCT-15.SUNITINIB,NFATC2IP,PDGFRA,0.44,mutation
HCT-15.SUNITINIB,NFATC2IP,PDGFRB,0.44,mutation
HCT-15.SUNITINIB,KIT,NFATC2IP,0.44,mutation
HCT-15.SUNITINIB,MYST3,PDGFRA,0.512,mutation
HCT-15.SUNITINIB,MYST3,PDGFRB,0.512,mutation
HCT-15.SUNITINIB,KIT,MYST3,0.512,mutation
HCT-15.SUNITINIB,PDGFRA,SEL1L,0.506,mutation
HCT-15.SUNITINIB,PDGFRB,SEL1L,0.506,mutation
HCT-15.SUNITINIB,KIT,SEL1L,0.506,mutation
HCT-15.SUNITINIB,PDE4DIP,PDGFRA,0.554,mutation
HCT-15.SUNITINIB,PDE4DIP,PDGFRB,0.554,mutation
HCT-15.SUNITINIB,KIT,PDE4DIP,0.554,mutation
HCT-15.SUNITINIB,PDGFRA,PDLIM5,0.587,mutation
HCT-15.SUNITINIB,PDGFRB,PDLIM5,0.587,mutation
HCT-15.SUNITINIB,KIT,PDLIM5,0.587,mutation
HCT-15.SUNITINIB,PDE6C,PDGFRA,0.443,mutation
HCT-15.SUNITINIB,PDE6C,PDGFRB,0.443,mutation
HCT-15.SUNITINIB,KIT,PDE6C,0.443,mutation
HCT-15.SUNITINIB,PDGFRA,TLE1,0.509,mutation
HCT-15.SUNITINIB,PDGFRB,TLE1,0.509,mutation
HCT-15.SUNITINIB,KIT,TLE1,0.509,mutation
HCT-15.SUNITINIB,KDR,POLE,0.503,mutation
HCT-15.SUNITINIB,PDGFRA,UTP14A,0.539,mutation
HCT-15.SUNITINIB,PDGFRB,UTP14A,0.539,mutation
HCT-15.SUNITINIB,KIT,UTP14A,0.539,mutation
HCT-15.SUNITINIB,ABCB1,KDR,0.473,mutation
HCT-15.SUNITINIB,DDX26B,PDGFRA,0.506,mutation
HCT-15.SUNITINIB,DDX26B,PDGFRB,0.506,mutation
HCT-15.SUNITINIB,DDX26B,KIT,0.506,mutation
HCT-15.SUNITINIB,FLT3,KIT,0.56,mutation
HCT-15.SUNITINIB,KDR,PARP2,0.557,mutation
HCT-15.SUNITINIB,CACNA2D2,PDGFRA,0.503,mutation
HCT-15.SUNITINIB,CACNA2D2,PDGFRB,0.503,mutation
HCT-15.SUNITINIB,CACNA2D2,KIT,0.503,mutation
HCT-15.SUNITINIB,KDR,POLD1,0.554,mutation
HCT-15.SUNITINIB,GPC5,PDGFRA,0.521,mutation
HCT-15.SUNITINIB,GPC5,PDGFRB,0.521,mutation
HCT-15.SUNITINIB,GPC5,KIT,0.521,mutation
HCT-15.ETOPOSIDE,ATAD2,TOP2A,0.2,mutation
HCT-15.ETOPOSIDE,KRAS,TOP2A,0.458,mutation
HCT-15.ETOPOSIDE,CENPF,TOP2A,0.224,mutation
HCT-15.ETOPOSIDE,HNRNPD,TOP2A,0.191,mutation
HCT-15.ZOLINZA,CASP8AP2,HDAC2,0.2,mutation
HCT-15.PD325901,KRAS,MAP2K1,0.458,mutation
HCT-15.PD325901,DIRC2,MAP2K1,0.56,mutation
HCT-15.L778123,FNTA,UBE2V2,0.2,mutation
HCT-15.MK-4541,AR,KRAS,0.44,mutation
HCT-15.MK-4541,AR,VAV1,0.1775,mutation
HCT-15.MK-4541,AR,VAV3,0.56,mutation
HCT-15.LAPATINIB,EGFR,PIK3CA,0.1775,mutation
HCT-15.LAPATINIB,ERBB2,PIK3CA,0.1775,mutation
HCT-15.LAPATINIB,EGFR,SMARCA2,0.1775,mutation
HCT-15.LAPATINIB,EGFR,KIAA1522,0.2,mutation
HCT-15.LAPATINIB,EGFR,KRAS,0.85,mutation
HCT-15.LAPATINIB,EGFR,PRKCD,0.855,mutation
HCT-15.LAPATINIB,EGFR,GTF2H1,0.536,mutation
HCT-15.LAPATINIB,CETN2,EGFR,0.527,mutation
HCT-15.LAPATINIB,BAX,EGFR,0.1775,mutation
HCT-15.LAPATINIB,BAX,ERBB2,0.1775,mutation
HCT-15.LAPATINIB,ATM,EGFR,0.542,mutation
HCT-15.LAPATINIB,EGFR,PRKCE,0.855,mutation
HCT-15.LAPATINIB,EGFR,PRKCZ,0.855,mutation
HCT-15.LAPATINIB,EGFR,ERBB3,0.8325,mutation
HCT-15.LAPATINIB,EGFR,SHC1,0.855,mutation
HCT-15.LAPATINIB,EGFR,TP53,0.273125,mutation
HCT-15.LAPATINIB,ERBB2,TP53,0.1775,mutation
