CELL_LINE.DRUG,GENEA,GENEB,SCORE,SOURCE,GENEA.GENEB
HCT-15.DINACICLIB,CDK2,KDR,0.551,mutation,CDK2.KDR
HCT-15.DINACICLIB,CDK2,KRAS,0.1775,mutation,CDK2.KRAS
HCT-15.DINACICLIB,CDK2,POLD1,0.551,mutation,CDK2.POLD1
HCT-15.DINACICLIB,CDK2,POLE,0.557,mutation,CDK2.POLE
HCT-15.DINACICLIB,CDK2,TP53,0.1775,mutation,CDK2.TP53
HCT-15.DINACICLIB,CDK9,KRAS,0.443,mutation,CDK9.KRAS
HCT-15.DINACICLIB,CDK9,TP53,0.1775,mutation,CDK9.TP53
HCT-15.DOXORUBICIN,BRCA1,TOP1,0.1775,mutation,BRCA1.TOP1
HCT-15.DOXORUBICIN,DNMT1,MTF2,0.173,mutation,DNMT1.MTF2
HCT-15.DOXORUBICIN,DNMT1,NFATC3,0.173,mutation,DNMT1.NFATC3
HCT-15.DOXORUBICIN,DNMT1,STIL,0.2,mutation,DNMT1.STIL
HCT-15.DOXORUBICIN,KRAS,TOP1,0.855,mutation,KRAS.TOP1
HCT-15.DOXORUBICIN,MLH1,TOP1,0.1775,mutation,MLH1.TOP1
HCT-15.DOXORUBICIN,TOP1,TP53,0.1775,mutation,TOP1.TP53
HCT-15.ERLOTINIB,ALK,EGFR,0.304,mutation,ALK.EGFR
HCT-15.ERLOTINIB,ATM,EGFR,0.542,mutation,ATM.EGFR
HCT-15.ERLOTINIB,AURKA,EGFR,0.8325,mutation,AURKA.EGFR
HCT-15.ERLOTINIB,BAG3,EGFR,0.173,mutation,BAG3.EGFR
HCT-15.ERLOTINIB,BAX,EGFR,0.1775,mutation,BAX.EGFR
HCT-15.ERLOTINIB,BRCA1,EGFR,0.7625,mutation,BRCA1.EGFR
HCT-15.ERLOTINIB,CETN2,EGFR,0.527,mutation,CETN2.EGFR
HCT-15.ERLOTINIB,CNTNAP1,EGFR,0.1775,mutation,CNTNAP1.EGFR
HCT-15.ERLOTINIB,DDR2,EGFR,0.1775,mutation,DDR2.EGFR
HCT-15.ERLOTINIB,EGF,EGFR,0.1775,mutation,EGF.EGFR
HCT-15.ERLOTINIB,EGFR,ERBB3,0.8325,mutation,EGFR.ERBB3
HCT-15.ERLOTINIB,EGFR,FLNA,0.855,mutation,EGFR.FLNA
HCT-15.ERLOTINIB,EGFR,GTF2H1,0.536,mutation,EGFR.GTF2H1
HCT-15.ERLOTINIB,EGFR,KDR,0.554,mutation,EGFR.KDR
HCT-15.ERLOTINIB,EGFR,KIAA1522,0.2,mutation,EGFR.KIAA1522
HCT-15.ERLOTINIB,EGFR,KIT,0.1775,mutation,EGFR.KIT
HCT-15.ERLOTINIB,EGFR,KRAS,0.85,mutation,EGFR.KRAS
HCT-15.ERLOTINIB,EGFR,OSMR,0.2,mutation,EGFR.OSMR
HCT-15.ERLOTINIB,EGFR,PARP2,0.815,mutation,EGFR.PARP2
HCT-15.ERLOTINIB,EGFR,PIK3CA,0.1775,mutation,EGFR.PIK3CA
HCT-15.ERLOTINIB,EGFR,PIK3R1,0.855,mutation,EGFR.PIK3R1
HCT-15.ERLOTINIB,EGFR,PLEC,0.2,mutation,EGFR.PLEC
HCT-15.ERLOTINIB,EGFR,POLD1,0.554,mutation,EGFR.POLD1
HCT-15.ERLOTINIB,EGFR,POLE,0.533,mutation,EGFR.POLE
HCT-15.ERLOTINIB,EGFR,PRKCD,0.855,mutation,EGFR.PRKCD
HCT-15.ERLOTINIB,EGFR,PRKCE,0.855,mutation,EGFR.PRKCE
HCT-15.ERLOTINIB,EGFR,PRKCZ,0.855,mutation,EGFR.PRKCZ
HCT-15.ERLOTINIB,EGFR,RET,0.855,mutation,EGFR.RET
HCT-15.ERLOTINIB,EGFR,SHC1,0.855,mutation,EGFR.SHC1
HCT-15.ERLOTINIB,EGFR,SMARCA2,0.1775,mutation,EGFR.SMARCA2
HCT-15.ERLOTINIB,EGFR,TP53,0.273125,mutation,EGFR.TP53
HCT-15.ETOPOSIDE,ATAD2,TOP2A,0.2,mutation,ATAD2.TOP2A
HCT-15.ETOPOSIDE,CENPF,TOP2A,0.224,mutation,CENPF.TOP2A
HCT-15.ETOPOSIDE,HNRNPD,TOP2A,0.191,mutation,HNRNPD.TOP2A
HCT-15.ETOPOSIDE,KRAS,TOP2A,0.458,mutation,KRAS.TOP2A
HCT-15.GELDANAMYCIN,CPNE1,HSP90AB1,0.2,mutation,CPNE1.HSP90AB1
HCT-15.GELDANAMYCIN,HSP90AA1,TP53,0.4305,mutation,HSP90AA1.TP53
HCT-15.GEMCITABINE,ABCB1,RRM1,0.5,mutation,ABCB1.RRM1
HCT-15.GEMCITABINE,ABCC10,RRM1,0.5,mutation,ABCC10.RRM1
HCT-15.GEMCITABINE,ASPM,CMPK1,0.5,mutation,ASPM.CMPK1
HCT-15.GEMCITABINE,ASPM,RRM1,0.5,mutation,ASPM.RRM1
HCT-15.GEMCITABINE,ASPM,TYMS,0.5,mutation,ASPM.TYMS
HCT-15.GEMCITABINE,ATM,RRM1,0.53,mutation,ATM.RRM1
HCT-15.GEMCITABINE,ATR,CMPK1,0.62,mutation,ATR.CMPK1
HCT-15.GEMCITABINE,ATR,RRM1,0.62,mutation,ATR.RRM1
HCT-15.GEMCITABINE,ATR,TYMS,0.62,mutation,ATR.TYMS
HCT-15.GEMCITABINE,AURKA,CMPK1,0.563,mutation,AURKA.CMPK1
HCT-15.GEMCITABINE,AURKA,RRM1,0.563,mutation,AURKA.RRM1
HCT-15.GEMCITABINE,AURKA,TYMS,0.563,mutation,AURKA.TYMS
HCT-15.GEMCITABINE,BARD1,TYMS,0.2,mutation,BARD1.TYMS
HCT-15.GEMCITABINE,BRCA1,RRM1,0.497,mutation,BRCA1.RRM1
HCT-15.GEMCITABINE,CAMK1,CMPK1,0.602,mutation,CAMK1.CMPK1
HCT-15.GEMCITABINE,CAMK1,RRM1,0.602,mutation,CAMK1.RRM1
HCT-15.GEMCITABINE,CAMK1,TYMS,0.602,mutation,CAMK1.TYMS
HCT-15.GEMCITABINE,CARS,CMPK1,0.5,mutation,CARS.CMPK1
HCT-15.GEMCITABINE,CARS,RRM1,0.5,mutation,CARS.RRM1
HCT-15.GEMCITABINE,CARS,TYMS,0.5,mutation,CARS.TYMS
HCT-15.GEMCITABINE,CDKL5,CMPK1,0.473,mutation,CDKL5.CMPK1
HCT-15.GEMCITABINE,CDKL5,RRM1,0.473,mutation,CDKL5.RRM1
HCT-15.GEMCITABINE,CDKL5,TYMS,0.473,mutation,CDKL5.TYMS
HCT-15.GEMCITABINE,CETN2,RRM1,0.518,mutation,CETN2.RRM1
HCT-15.GEMCITABINE,CMPK1,CSK,0.473,mutation,CMPK1.CSK
HCT-15.GEMCITABINE,CMPK1,CSNK1E,0.482,mutation,CMPK1.CSNK1E
HCT-15.GEMCITABINE,CMPK1,DGKA,0.56,mutation,CMPK1.DGKA
HCT-15.GEMCITABINE,CMPK1,EPHA1,0.5,mutation,CMPK1.EPHA1
HCT-15.GEMCITABINE,CMPK1,FER,0.473,mutation,CMPK1.FER
HCT-15.GEMCITABINE,CMPK1,GPBP1L1,0.2,mutation,CMPK1.GPBP1L1
HCT-15.GEMCITABINE,CMPK1,KDR,0.473,mutation,CMPK1.KDR
HCT-15.GEMCITABINE,CMPK1,MAP2K7,0.467,mutation,CMPK1.MAP2K7
HCT-15.GEMCITABINE,CMPK1,MAP3K1,0.5,mutation,CMPK1.MAP3K1
HCT-15.GEMCITABINE,CMPK1,MARK1,0.569,mutation,CMPK1.MARK1
HCT-15.GEMCITABINE,CMPK1,RBM12,0.5,mutation,CMPK1.RBM12
HCT-15.GEMCITABINE,CMPK1,RIPK2,0.446,mutation,CMPK1.RIPK2
HCT-15.GEMCITABINE,CMPK1,RRM1,0.5,mutation,CMPK1.RRM1
HCT-15.GEMCITABINE,CMPK1,SPHK1,0.473,mutation,CMPK1.SPHK1
HCT-15.GEMCITABINE,CMPK1,TYRO3,0.446,mutation,CMPK1.TYRO3
HCT-15.GEMCITABINE,CMPK1,VRK3,0.467,mutation,CMPK1.VRK3
HCT-15.GEMCITABINE,CSK,RRM1,0.473,mutation,CSK.RRM1
HCT-15.GEMCITABINE,CSK,TYMS,0.473,mutation,CSK.TYMS
HCT-15.GEMCITABINE,CSNK1E,RRM1,0.482,mutation,CSNK1E.RRM1
HCT-15.GEMCITABINE,CSNK1E,TYMS,0.482,mutation,CSNK1E.TYMS
HCT-15.GEMCITABINE,DGKA,RRM1,0.56,mutation,DGKA.RRM1
HCT-15.GEMCITABINE,DGKA,TYMS,0.56,mutation,DGKA.TYMS
HCT-15.GEMCITABINE,EPHA1,RRM1,0.5,mutation,EPHA1.RRM1
HCT-15.GEMCITABINE,EPHA1,TYMS,0.5,mutation,EPHA1.TYMS
HCT-15.GEMCITABINE,FER,RRM1,0.473,mutation,FER.RRM1
HCT-15.GEMCITABINE,FER,TYMS,0.473,mutation,FER.TYMS
HCT-15.GEMCITABINE,GTF2H1,RRM1,0.512,mutation,GTF2H1.RRM1
HCT-15.GEMCITABINE,KDR,RRM1,0.675,mutation,KDR.RRM1
HCT-15.GEMCITABINE,KDR,TYMS,0.473,mutation,KDR.TYMS
HCT-15.GEMCITABINE,KRAS,RRM1,0.536,mutation,KRAS.RRM1
HCT-15.GEMCITABINE,LRRC40,RRM1,0.17,mutation,LRRC40.RRM1
HCT-15.GEMCITABINE,MAP2K7,RRM1,0.467,mutation,MAP2K7.RRM1
HCT-15.GEMCITABINE,MAP2K7,TYMS,0.467,mutation,MAP2K7.TYMS
HCT-15.GEMCITABINE,MAP3K1,RRM1,0.5,mutation,MAP3K1.RRM1
HCT-15.GEMCITABINE,MAP3K1,TYMS,0.5,mutation,MAP3K1.TYMS
HCT-15.GEMCITABINE,MARK1,RRM1,0.569,mutation,MARK1.RRM1
HCT-15.GEMCITABINE,MARK1,TYMS,0.569,mutation,MARK1.TYMS
HCT-15.GEMCITABINE,PARP2,RRM1,0.527,mutation,PARP2.RRM1
HCT-15.GEMCITABINE,POLD1,RRM1,0.53,mutation,POLD1.RRM1
HCT-15.GEMCITABINE,POLE,RRM1,0.509,mutation,POLE.RRM1
HCT-15.GEMCITABINE,RBM12,RRM1,0.5,mutation,RBM12.RRM1
HCT-15.GEMCITABINE,RBM12,TYMS,0.5,mutation,RBM12.TYMS
HCT-15.GEMCITABINE,RIPK2,RRM1,0.446,mutation,RIPK2.RRM1
HCT-15.GEMCITABINE,RIPK2,TYMS,0.446,mutation,RIPK2.TYMS
HCT-15.GEMCITABINE,RRM1,SPHK1,0.473,mutation,RRM1.SPHK1
HCT-15.GEMCITABINE,RRM1,TYRO3,0.446,mutation,RRM1.TYRO3
HCT-15.GEMCITABINE,RRM1,VRK3,0.467,mutation,RRM1.VRK3
HCT-15.GEMCITABINE,SPHK1,TYMS,0.473,mutation,SPHK1.TYMS
HCT-15.GEMCITABINE,THOC1,TYMS,0.2,mutation,THOC1.TYMS
HCT-15.GEMCITABINE,TYMS,TYRO3,0.446,mutation,TYMS.TYRO3
HCT-15.GEMCITABINE,TYMS,VRK3,0.467,mutation,TYMS.VRK3
HCT-15.L778123,FNTA,UBE2V2,0.2,mutation,FNTA.UBE2V2
HCT-15.LAPATINIB,ALK,EGFR,0.304,mutation,ALK.EGFR
HCT-15.LAPATINIB,ATM,EGFR,0.542,mutation,ATM.EGFR
HCT-15.LAPATINIB,AURKA,EGFR,0.8325,mutation,AURKA.EGFR
HCT-15.LAPATINIB,BAG3,EGFR,0.173,mutation,BAG3.EGFR
HCT-15.LAPATINIB,BAX,EGFR,0.1775,mutation,BAX.EGFR
HCT-15.LAPATINIB,BAX,ERBB2,0.1775,mutation,BAX.ERBB2
HCT-15.LAPATINIB,BRCA1,EGFR,0.7625,mutation,BRCA1.EGFR
HCT-15.LAPATINIB,CENPE,ERBB2,0.1775,mutation,CENPE.ERBB2
HCT-15.LAPATINIB,CETN2,EGFR,0.527,mutation,CETN2.EGFR
HCT-15.LAPATINIB,CNTNAP1,EGFR,0.1775,mutation,CNTNAP1.EGFR
HCT-15.LAPATINIB,DDR2,EGFR,0.1775,mutation,DDR2.EGFR
HCT-15.LAPATINIB,EGF,EGFR,0.1775,mutation,EGF.EGFR
HCT-15.LAPATINIB,EGFR,ERBB3,0.8325,mutation,EGFR.ERBB3
HCT-15.LAPATINIB,EGFR,FLNA,0.855,mutation,EGFR.FLNA
HCT-15.LAPATINIB,EGFR,GTF2H1,0.536,mutation,EGFR.GTF2H1
HCT-15.LAPATINIB,EGFR,KDR,0.554,mutation,EGFR.KDR
HCT-15.LAPATINIB,EGFR,KIAA1522,0.2,mutation,EGFR.KIAA1522
HCT-15.LAPATINIB,EGFR,KIT,0.1775,mutation,EGFR.KIT
HCT-15.LAPATINIB,EGFR,KRAS,0.85,mutation,EGFR.KRAS
HCT-15.LAPATINIB,EGFR,OSMR,0.2,mutation,EGFR.OSMR
HCT-15.LAPATINIB,EGFR,PARP2,0.815,mutation,EGFR.PARP2
HCT-15.LAPATINIB,EGFR,PIK3CA,0.1775,mutation,EGFR.PIK3CA
HCT-15.LAPATINIB,EGFR,PIK3R1,0.855,mutation,EGFR.PIK3R1
HCT-15.LAPATINIB,EGFR,PLEC,0.2,mutation,EGFR.PLEC
HCT-15.LAPATINIB,EGFR,POLD1,0.554,mutation,EGFR.POLD1
HCT-15.LAPATINIB,EGFR,POLE,0.533,mutation,EGFR.POLE
HCT-15.LAPATINIB,EGFR,PRKCD,0.855,mutation,EGFR.PRKCD
HCT-15.LAPATINIB,EGFR,PRKCE,0.855,mutation,EGFR.PRKCE
HCT-15.LAPATINIB,EGFR,PRKCZ,0.855,mutation,EGFR.PRKCZ
HCT-15.LAPATINIB,EGFR,RET,0.855,mutation,EGFR.RET
HCT-15.LAPATINIB,EGFR,SHC1,0.855,mutation,EGFR.SHC1
HCT-15.LAPATINIB,EGFR,SMARCA2,0.1775,mutation,EGFR.SMARCA2
HCT-15.LAPATINIB,EGFR,TP53,0.273125,mutation,EGFR.TP53
HCT-15.LAPATINIB,ERBB2,PGR,0.1775,mutation,ERBB2.PGR
HCT-15.LAPATINIB,ERBB2,PIK3CA,0.1775,mutation,ERBB2.PIK3CA
HCT-15.LAPATINIB,ERBB2,TP53,0.1775,mutation,ERBB2.TP53
HCT-15.METHOTREXATE,CDC25A,DHFR,0.191,mutation,CDC25A.DHFR
HCT-15.MK-2206,AKT1,BAX,0.1775,mutation,AKT1.BAX
HCT-15.MK-2206,AKT1,CASP8,0.1775,mutation,AKT1.CASP8
HCT-15.MK-2206,AKT1,KEAP1,0.56,mutation,AKT1.KEAP1
HCT-15.MK-2206,AKT1,PIK3CA,0.3982579,mutation,AKT1.PIK3CA
HCT-15.MK-2206,AKT1,TP53,0.273125,mutation,AKT1.TP53
HCT-15.MK-2206,AKT1,VAV1,0.1775,mutation,AKT1.VAV1
HCT-15.MK-2206,AKT1,VAV3,0.1775,mutation,AKT1.VAV3
HCT-15.MK-4541,AR,KRAS,0.44,mutation,AR.KRAS
HCT-15.MK-4541,AR,VAV1,0.1775,mutation,AR.VAV1
HCT-15.MK-4541,AR,VAV3,0.56,mutation,AR.VAV3
HCT-15.MK-4827,ALK,PARP1,0.1775,mutation,ALK.PARP1
HCT-15.MK-4827,ATM,PARP1,0.85,mutation,ATM.PARP1
HCT-15.MK-4827,ATM,PARP2,0.56,mutation,ATM.PARP2
HCT-15.MK-4827,ATR,PARP1,0.4305,mutation,ATR.PARP1
HCT-15.MK-4827,BAX,PARP1,0.1775,mutation,BAX.PARP1
HCT-15.MK-4827,BRCA1,PARP1,0.99,mutation,BRCA1.PARP1
HCT-15.MK-4827,BRCA1,PARP2,0.873,mutation,BRCA1.PARP2
HCT-15.MK-4827,BRCA2,PARP1,0.85,mutation,BRCA2.PARP1
HCT-15.MK-4827,BRCA2,PARP2,0.855,mutation,BRCA2.PARP2
HCT-15.MK-4827,CASP8,PARP1,0.4305,mutation,CASP8.PARP1
HCT-15.MK-4827,CD177,PARP1,0.1775,mutation,CD177.PARP1
HCT-15.MK-4827,CDK5,PARP1,0.304,mutation,CDK5.PARP1
HCT-15.MK-4827,CETN2,PARP1,0.548,mutation,CETN2.PARP1
HCT-15.MK-4827,CETN2,PARP2,0.554,mutation,CETN2.PARP2
HCT-15.MK-4827,CHEK2,PARP1,0.1775,mutation,CHEK2.PARP1
HCT-15.MK-4827,DAPK1,PARP1,0.1775,mutation,DAPK1.PARP1
HCT-15.MK-4827,DLGAP5,PARP2,0.2,mutation,DLGAP5.PARP2
HCT-15.MK-4827,GMNN,PARP1,0.2,mutation,GMNN.PARP1
HCT-15.MK-4827,GORASP1,PARP1,0.1775,mutation,GORASP1.PARP1
HCT-15.MK-4827,GTF2H1,PARP1,0.536,mutation,GTF2H1.PARP1
HCT-15.MK-4827,GTF2H1,PARP2,0.539,mutation,GTF2H1.PARP2
HCT-15.MK-4827,KDR,PARP1,0.554,mutation,KDR.PARP1
HCT-15.MK-4827,KDR,PARP2,0.557,mutation,KDR.PARP2
HCT-15.MK-4827,KRAS,PARP1,0.1775,mutation,KRAS.PARP1
HCT-15.MK-4827,MLH1,PARP1,0.273125,mutation,MLH1.PARP1
HCT-15.MK-4827,NFKBIA,PARP1,0.1775,mutation,NFKBIA.PARP1
HCT-15.MK-4827,NIPBL,PARP1,0.855,mutation,NIPBL.PARP1
HCT-15.MK-4827,NLRP2,PARP1,0.34334375,mutation,NLRP2.PARP1
HCT-15.MK-4827,PARP1,PARP2,0.273125,mutation,PARP1.PARP2
HCT-15.MK-4827,PARP1,PIK3CA,0.34334375,mutation,PARP1.PIK3CA
HCT-15.MK-4827,PARP1,POLD1,0.56,mutation,PARP1.POLD1
HCT-15.MK-4827,PARP1,POLE,0.548,mutation,PARP1.POLE
HCT-15.MK-4827,PARP1,RAD21,0.855,mutation,PARP1.RAD21
HCT-15.MK-4827,PARP1,RMND5A,0.176,mutation,PARP1.RMND5A
HCT-15.MK-4827,PARP1,SMC3,0.855,mutation,PARP1.SMC3
HCT-15.MK-4827,PARP1,STAG1,0.855,mutation,PARP1.STAG1
HCT-15.MK-4827,PARP1,TOP1,0.1775,mutation,PARP1.TOP1
HCT-15.MK-4827,PARP1,TP53,0.5173143,mutation,PARP1.TP53
HCT-15.MK-4827,PARP1,TP53BP1,0.304,mutation,PARP1.TP53BP1
HCT-15.MK-4827,PARP1,USP11,0.1775,mutation,PARP1.USP11
HCT-15.MK-4827,PARP2,POLD1,0.557,mutation,PARP2.POLD1
HCT-15.MK-4827,PARP2,POLE,0.536,mutation,PARP2.POLE
HCT-15.MK-4827,PARP2,RAD21,0.855,mutation,PARP2.RAD21
HCT-15.MK-4827,PARP2,SMC3,0.855,mutation,PARP2.SMC3
HCT-15.MK-4827,PARP2,STAG1,0.855,mutation,PARP2.STAG1
HCT-15.MK-5108,ABCB1,AURKA,0.605,mutation,ABCB1.AURKA
HCT-15.MK-5108,ABCB11,AURKA,0.5,mutation,ABCB11.AURKA
HCT-15.MK-5108,ABCC1,AURKA,0.5,mutation,ABCC1.AURKA
HCT-15.MK-5108,ABCC10,AURKA,0.605,mutation,ABCC10.AURKA
HCT-15.MK-5108,ABCC2,AURKA,0.5,mutation,ABCC2.AURKA
HCT-15.MK-5108,AURKA,CMPK1,0.563,mutation,AURKA.CMPK1
HCT-15.MK-5108,AURKA,CYP19A1,0.5,mutation,AURKA.CYP19A1
HCT-15.MK-5108,AURKA,CYP1B1,0.5,mutation,AURKA.CYP1B1
HCT-15.MK-5108,AURKA,CYP2C9,0.5,mutation,AURKA.CYP2C9
HCT-15.MK-5108,AURKA,ECT2,0.2,mutation,AURKA.ECT2
HCT-15.MK-5108,AURKA,MAP2,0.5,mutation,AURKA.MAP2
HCT-15.MK-5108,AURKA,MAP4,0.5,mutation,AURKA.MAP4
HCT-15.MK-5108,AURKA,NCAPH,0.2,mutation,AURKA.NCAPH
HCT-15.MK-5108,AURKA,TACC3,0.23,mutation,AURKA.TACC3
HCT-15.MK-8669,ALK,MTOR,0.1775,mutation,ALK.MTOR
HCT-15.MK-8669,ATM,MTOR,0.554,mutation,ATM.MTOR
HCT-15.MK-8669,ATR,MTOR,0.56,mutation,ATR.MTOR
HCT-15.MK-8669,BRCA1,MTOR,0.548,mutation,BRCA1.MTOR
HCT-15.MK-8669,CETN2,MTOR,0.548,mutation,CETN2.MTOR
HCT-15.MK-8669,DAB2IP,MTOR,0.1775,mutation,DAB2IP.MTOR
HCT-15.MK-8669,EIF4E,MTOR,0.56,mutation,EIF4E.MTOR
HCT-15.MK-8669,EZH2,MTOR,0.1775,mutation,EZH2.MTOR
HCT-15.MK-8669,GLI1,MTOR,0.56,mutation,GLI1.MTOR
HCT-15.MK-8669,GLI2,MTOR,0.56,mutation,GLI2.MTOR
HCT-15.MK-8669,GTF2H1,MTOR,0.557,mutation,GTF2H1.MTOR
HCT-15.MK-8669,KDR,MTOR,0.545,mutation,KDR.MTOR
HCT-15.MK-8669,KRAS,MTOR,0.461,mutation,KRAS.MTOR
HCT-15.MK-8669,MTOR,PARP2,0.557,mutation,MTOR.PARP2
HCT-15.MK-8669,MTOR,PIK3CA,0.4305,mutation,MTOR.PIK3CA
HCT-15.MK-8669,MTOR,POLD1,0.545,mutation,MTOR.POLD1
HCT-15.MK-8669,MTOR,POLE,0.542,mutation,MTOR.POLE
HCT-15.MK-8669,MTOR,TP53,0.464375,mutation,MTOR.TP53
HCT-15.MK-8776,ABCB1,CHEK1,0.647,mutation,ABCB1.CHEK1
HCT-15.MK-8776,ABCC10,CHEK1,0.647,mutation,ABCC10.CHEK1
HCT-15.MK-8776,ATM,CHEK1,0.3982579,mutation,ATM.CHEK1
HCT-15.MK-8776,ATR,CHEK1,0.34334375,mutation,ATR.CHEK1
HCT-15.MK-8776,BRCA1,CHEK1,0.273125,mutation,BRCA1.CHEK1
HCT-15.MK-8776,BRCA2,CHEK1,0.273125,mutation,BRCA2.CHEK1
HCT-15.MK-8776,CDC25A,CHEK1,0.1775,mutation,CDC25A.CHEK1
HCT-15.MK-8776,CDC25C,CHEK1,0.1775,mutation,CDC25C.CHEK1
HCT-15.MK-8776,CDK1,CHEK1,0.1775,mutation,CDK1.CHEK1
HCT-15.MK-8776,CHEK1,CHEK2,0.3982579,mutation,CHEK1.CHEK2
HCT-15.MK-8776,CHEK1,CMPK1,0.647,mutation,CHEK1.CMPK1
HCT-15.MK-8776,CHEK1,KNTC1,0.197,mutation,CHEK1.KNTC1
HCT-15.MK-8776,CHEK1,MLH1,0.4305,mutation,CHEK1.MLH1
HCT-15.MK-8776,CHEK1,NF1,0.1775,mutation,CHEK1.NF1
HCT-15.MK-8776,CHEK1,NOL11,0.176,mutation,CHEK1.NOL11
HCT-15.MK-8776,CHEK1,NPAT,0.2,mutation,CHEK1.NPAT
HCT-15.MK-8776,CHEK1,PIK3CA,0.1775,mutation,CHEK1.PIK3CA
HCT-15.MK-8776,CHEK1,RBBP8,0.1775,mutation,CHEK1.RBBP8
HCT-15.MK-8776,CHEK1,TOP1,0.1775,mutation,CHEK1.TOP1
HCT-15.MK-8776,CHEK1,TP53,0.85,mutation,CHEK1.TP53
HCT-15.PD325901,DIRC2,MAP2K1,0.56,mutation,DIRC2.MAP2K1
HCT-15.PD325901,KRAS,MAP2K1,0.458,mutation,KRAS.MAP2K1
HCT-15.SN-38,ATAD2,TOP2A,0.2,mutation,ATAD2.TOP2A
HCT-15.SN-38,BRCA1,TOP1,0.1775,mutation,BRCA1.TOP1
HCT-15.SN-38,CENPF,TOP2A,0.224,mutation,CENPF.TOP2A
HCT-15.SN-38,HNRNPD,TOP2A,0.191,mutation,HNRNPD.TOP2A
HCT-15.SN-38,KRAS,TOP1,0.855,mutation,KRAS.TOP1
HCT-15.SN-38,KRAS,TOP2A,0.458,mutation,KRAS.TOP2A
HCT-15.SN-38,MLH1,TOP1,0.1775,mutation,MLH1.TOP1
HCT-15.SN-38,TOP1,TP53,0.1775,mutation,TOP1.TP53
HCT-15.SORAFENIB,ABCB1,KDR,0.473,mutation,ABCB1.KDR
HCT-15.SORAFENIB,ABCC10,KDR,0.473,mutation,ABCC10.KDR
HCT-15.SORAFENIB,ANK3,KIT,0.506,mutation,ANK3.KIT
HCT-15.SORAFENIB,ANK3,PDGFRA,0.506,mutation,ANK3.PDGFRA
HCT-15.SORAFENIB,ANK3,PDGFRB,0.506,mutation,ANK3.PDGFRB
HCT-15.SORAFENIB,ATM,KDR,0.53,mutation,ATM.KDR
HCT-15.SORAFENIB,ATP7A,KIT,0.509,mutation,ATP7A.KIT
HCT-15.SORAFENIB,ATP7A,PDGFRA,0.509,mutation,ATP7A.PDGFRA
HCT-15.SORAFENIB,ATP7A,PDGFRB,0.509,mutation,ATP7A.PDGFRB
HCT-15.SORAFENIB,BRCA1,KDR,0.545,mutation,BRCA1.KDR
HCT-15.SORAFENIB,CACNA2D2,KIT,0.503,mutation,CACNA2D2.KIT
HCT-15.SORAFENIB,CACNA2D2,PDGFRA,0.503,mutation,CACNA2D2.PDGFRA
HCT-15.SORAFENIB,CACNA2D2,PDGFRB,0.503,mutation,CACNA2D2.PDGFRB
HCT-15.SORAFENIB,CARS,KIT,0.506,mutation,CARS.KIT
HCT-15.SORAFENIB,CARS,PDGFRA,0.506,mutation,CARS.PDGFRA
HCT-15.SORAFENIB,CARS,PDGFRB,0.506,mutation,CARS.PDGFRB
HCT-15.SORAFENIB,CEACAM1,KIT,0.509,mutation,CEACAM1.KIT
HCT-15.SORAFENIB,CEACAM1,PDGFRA,0.509,mutation,CEACAM1.PDGFRA
HCT-15.SORAFENIB,CEACAM1,PDGFRB,0.509,mutation,CEACAM1.PDGFRB
HCT-15.SORAFENIB,CETN2,KDR,0.551,mutation,CETN2.KDR
HCT-15.SORAFENIB,CLTC,KIT,0.524,mutation,CLTC.KIT
HCT-15.SORAFENIB,CLTC,PDGFRA,0.524,mutation,CLTC.PDGFRA
HCT-15.SORAFENIB,CLTC,PDGFRB,0.524,mutation,CLTC.PDGFRB
HCT-15.SORAFENIB,CMPK1,KDR,0.473,mutation,CMPK1.KDR
HCT-15.SORAFENIB,CNR1,KIT,0.506,mutation,CNR1.KIT
HCT-15.SORAFENIB,CNR1,PDGFRA,0.506,mutation,CNR1.PDGFRA
HCT-15.SORAFENIB,CNR1,PDGFRB,0.506,mutation,CNR1.PDGFRB
HCT-15.SORAFENIB,COL3A1,KIT,0.521,mutation,COL3A1.KIT
HCT-15.SORAFENIB,COL3A1,PDGFRA,0.521,mutation,COL3A1.PDGFRA
HCT-15.SORAFENIB,COL3A1,PDGFRB,0.521,mutation,COL3A1.PDGFRB
HCT-15.SORAFENIB,CTSB,KIT,0.506,mutation,CTSB.KIT
HCT-15.SORAFENIB,CTSB,PDGFRA,0.506,mutation,CTSB.PDGFRA
HCT-15.SORAFENIB,CTSB,PDGFRB,0.506,mutation,CTSB.PDGFRB
HCT-15.SORAFENIB,DDX26B,KIT,0.506,mutation,DDX26B.KIT
HCT-15.SORAFENIB,DDX26B,PDGFRA,0.506,mutation,DDX26B.PDGFRA
HCT-15.SORAFENIB,DDX26B,PDGFRB,0.506,mutation,DDX26B.PDGFRB
HCT-15.SORAFENIB,EPB42,KIT,0.506,mutation,EPB42.KIT
HCT-15.SORAFENIB,EPB42,PDGFRA,0.506,mutation,EPB42.PDGFRA
HCT-15.SORAFENIB,EPB42,PDGFRB,0.506,mutation,EPB42.PDGFRB
HCT-15.SORAFENIB,FLT3,KIT,0.56,mutation,FLT3.KIT
HCT-15.SORAFENIB,GPC5,KIT,0.521,mutation,GPC5.KIT
HCT-15.SORAFENIB,GPC5,PDGFRA,0.521,mutation,GPC5.PDGFRA
